****************************************************************************************************************************
Sayın Araştırmacı;

Bu Türkçe Duygu Sözlüğü, doktora tezi çalışması kapsamında geliştirilmiş olup,
kullanılması ve dağıtılması tamamen serbesttir. Amacımız dilimizde yapılacak
çalışmalara kaynak oluşturabilmektedir. 

Akademik amaçlı kullanımınızda, aşağıdaki yayınlara çalışmalarınızda referans vermenizi rica ederiz.

İyi çalışmalar....


REFERANS VERİLECEK YAYINLAR:
---------------------------
1) F. Sağlam, B. Genç, H. Sever, "Extending a Sentiment Lexicon with Synonym-Antonym Datasets: SWNetTR++", 
   Turkish Journal of Electrical Engineering and Computer Sciences, 27 (2019) 1806-1820. 
   
2) F. Sağlam, B. Genç, H. Sever, "Developing Turkish Sentiment Lexicon for Sentiment Analysis Using Online News Media", 
   IEEE/ACS 13th International Conference of Computer Systems and Applications (AICCSA), 
   Nov 29 – Dec 02 2016, Agadir, Morocco, 2016.   


SÖZLÜĞÜN TÜM GELİŞTİRİLME YÖNTEM VE SÜREÇLERİ HAKKINDA BÜTÜN BİLGİLER İÇİN:
--------------------------------------------------------------------------
   YÖK Tez Merkezi, 10253867 referans numaralı, 
   "Otomatik Duygu Sözlüğü Geliştirilmesi ve Haberlerin Duygu Analizi" konulu doktora tezi.


TÜRKÇE KARAKTERLERDEN DOLAYI ENCODING PROBLEMI YAŞAYANLAR İÇİN PYTHON KOD SATIRI:
--------------------------------------------------------------------------------
   import pandas as pd
   SWNetTR = pd.read_csv(r"...\YOUR_PATH\SWNetTR++.csv", sep=';', decimal=",", encoding="utf-8-sig")


Fatih SAĞLAM
fsaglam2002@yahoo.com

****************************************************************************************************************************



WORD;TONE;POLARITY
abluka çekmek;0,072277554;1
abluka etmek;-0,017687524;-1
ablukaya almak;-0,014327406;-1
abnormalite;0,409661461;1
abokat;-0,362563517;-1
abone;0,044924215;1
abra;0,695207439;1
âbrâh;-0,25;-1
abraş;-0,125730612;-1
abreaksiyon;0,411517439;1
abrıl;-0,05701;-1
abril;-0,05701;-1
abrul;-0,05701;-1
absorbanlar;0,536517439;1
absorbe;-0,282113221;-1
absorbe etmek;-0,034528072;-1
absorpsiyon;-0,07653;-1
abstre;0,187524657;1
absürt;0,171307439;1
abu;0,072517439;1
abuk;-0,25;-1
abuk sabuk;-0,001059009;-1
abuk sabukluk;-0,172711133;-1
abuk subukluk;-0,100560746;-1
abuklamak;-0,04167;-1
abuli;-0,125;-1
abullabut;-0,380834433;-1
abur;0,159607439;1
abur cubur;0,221802666;1
abus;-0,001199982;-1
abuş;0,104507439;1
acaba;0,426811439;1
acaip;-0,030742249;-1
acaiplik;0,107262277;1
acar;0,088472491;1
acardia;-0,5;-1
acayip;0,037564412;1
acayiplik;-0,12285198;-1
accurse;-0,125;-1
acele;-0,008527331;-1
acele acele;-0,05033848;-1
acele aile;-0,25;-1
acele etmek;0,088670987;1
aceleci;-0,099554456;-1
aceleci kişi;-0,25;-1
aceleciliği;-0,125;-1
acelecilik;-0,151228564;-1
aceleyle;0,161517439;1
acemi;-0,113375847;-1
acemi çaylak;0,047732632;1
acemi pilot;-0,08333;-1
acemi ressam;-0,125;-1
acemice;0,183922706;1
acemicesine;0,202426989;1
acemileşmek;-0,235701722;-1
acemilik;-0,068322384;-1
acemilik çekmek;-0,235701722;-1
acenta;-0,006829986;-1
acente;0,239567439;1
acep;-0,050274;-1
aceze;-0,077600246;-1
acı;-0,198114428;-1
acı acı;0,286517439;1
acı aloes;0,161517439;1
acı biber;-0,04167;-1
acı biber sosu;-0,03409;-1
acı çeken;-0,291983269;-1
acı çekmek;-0,351059159;-1
acı çığlık;-0,187952863;-1
acı çikolata;0,280547439;1
acı hissi;-0,75;-1
acı konuşmak;0,286517439;1
acı limon;-0,125;-1
acı marul;-0,125;-1
acı sonu;-0,41667;-1
acı tuzlar;-0,125;-1
acı ve ince ses;-0,19444;-1
acı veren;-0,6875;-1
acı yitimi;-0,75;-1
acık;-0,206858068;-1
acıklı;-0,253762611;-1
acıklı komedi;0,316817439;1
acıklı olay;0,246517439;1
acıklı olma;-0,875;-1
acıklı safsata;-0,375;-1
acıkmak;-0,04057599;-1
acılan;-0,125;-1
acılandırmak;-0,153861722;-1
acılanmak;-0,118383118;-1
acılaştırmak;-0,20833;-1
acılı;-0,309947826;-1
acılığın;-0,5;-1
acılık;-0,268825481;-1
acılır;-0,375;-1
acıma;0,641123095;1
acımak;-0,034546786;-1
acımamak;0,04394704;1
acıması olan;-0,75;-1
acımasız;-0,241220223;-1
acımasızca;0,08650309;1
acımasızcasına;0,123142664;1
acımasızlık;-0,483530617;-1
acımaz;-0,193170889;-1
acımış;-0,54167;-1
acımtırak;-0,145809481;-1
acınacak;-0,217568236;-1
acınacak halde;0,286517439;1
acınan;-0,125;-1
acınarak;-0,125;-1
acınası;0,536517439;1
acındırıcı;0,22663055;1
acındırmak;-0,153145511;-1
acınma;-0,267297918;-1
acınmak;-0,096699917;-1
acısını;0,228899321;1
acısını arttırmak;-0,355671873;-1
acısını çekmek;-0,040647267;-1
acısını fazlalaştırmak;-0,355671873;-1
acısız;-0,037842949;-1
acıtmak;-0,098827076;-1
acıyan;-0,75;-1
acıyı;-0,575312709;-1
acibe;0,0930875;1
acil;-0,066139126;-1
acil iniş;-0,125;-1
acil servis;0,161517439;1
acil tıp teknisyeni;0,161517439;1
acilen;0,092858621;1
acillik;0,119847439;1
acip;0,09162842;1
aciz;-0,256154931;-1
acizane;0,161517439;1
acizler;0,156963252;1
âcizleri;0,244859773;1
acizlik;-0,141085869;-1
acul;-0,329036323;-1
aculluk;-0,170364583;-1
acun;0,081816641;1
acur;0,322788804;1
acurlu;-0,23864;-1
acuze;0,167537667;1
acür;0,105471855;1
acyocu;-0,082725901;-1
acz içinde olmak;-0,317462801;-1
aç;-0,153485653;-1
aç açına;-0,261293359;-1
aç gözlü;-0,107504454;-1
aç gözlülük;-0,331767561;-1
aç kalmak;-0,04458079;-1
aç karnına;-0,261293359;-1
aç kurt gibi;-0,261317152;-1
aç sefil;-0,261293359;-1
aç ve çıplak;-0,260983718;-1
açacak;-0,090546585;-1
açalya;0,397447208;1
açar;-0,06839479;-1
açelya;0,421607507;1
açgözlü;-0,058696513;-1
açgözlülüğüyle;0,161517439;1
açgözlülük;-0,077724462;-1
açgözlülükle;0,161517439;1
açı;-0,041604521;-1
açıcı;0,208384408;1
açığa alma;-0,354360615;-1
açığa çıkarma;-0,013977621;-1
açığa çıkarmak;0,059638175;1
açığa vurucu;0,244847439;1
açığını bulmak;-0,374851653;-1
açık;0,150845235;1
açık açık;0,411517439;1
açık almak;0,102283631;1
açık anlaşılan;0,182910032;1
açık aralık;-0,125;-1
açık artırma;0,175975278;1
açık arttırma;-0,042765542;-1
açık ciro;-0,25;-1
açık çek;-0,043762255;-1
açık deniz;0,411517439;1
açık dükkan;-0,5;-1
açık eksiltme;0,088375952;1
açık evlilik;-0,25;-1
açık fikirli;0,087546568;1
açık görüşlü;0,411517439;1
açık gözlü;0,536517439;1
açık kahverengi;0,070607439;1
açık kalple;0,223286389;1
açık kalpli;0,445537474;1
açık olan;-0,125;-1
açık olmayan;-0,153040364;-1
açık örgü;-0,5;-1
açık saçık;-0,17031;-1
açık sandviç;-0,5;-1
açık seçik;0,118336471;1
açık sözlü;0,078187439;1
açık sözlülük;0,425407439;1
açık susam;0,119847439;1
açık üniversite;-0,25;-1
açık yakalı;-0,625;-1
açık yeşil;-0,125;-1
açık yürekli;0,633153768;1
açık zincirli;-0,375;-1
açıkça;0,172464589;1
açıkça anlatmak;0,167013779;1
açıkça söyleme;0,150211483;1
açıkçası;0,249746859;1
açıkgozlükle;0,161517439;1
açıkgöz;0,152765777;1
açıkgözlük;0,224017439;1
açıkgözlülük;0,224017439;1
açıkkalplilik;0,218058481;1
açıkla;-0,05164;-1
açıkladı;0,161517439;1
açıklama;-0,004207796;-1
açıklamak;0,099744888;1
açıklanabilecek;0,661517439;1
açıklanabilir;0,661517439;1
açıklanamayan;-0,20833;-1
açıklanamaz;-0,375;-1
açıklanan;0,27690588;1
açıklanmak;-0,139127473;-1
açıklanmamak;-0,073961399;-1
açıklanmamış;-0,375;-1
açıklanmayan;-0,25;-1
açıklanmış;0,156780708;1
açıklayamamak;-0,073746881;-1
açıklayan;0,188032525;1
açıklayıcı;0,060947784;1
açıklık;-0,036240483;-1
açıklıklı;0,189577439;1
açıksözlü;0,155326455;1
açıksözlülük;0,123306809;1
açıkta;0,112098482;1
açıkta bırakma;-0,354360615;-1
açıktan;0,068855904;1
açıktan açığa;0,110324405;1
açıkyüreklilik;0,112435578;1
açıldı;-0,13636;-1
açılı glokom;0,411517439;1
açılım;0,391194107;1
açılıp kapanan perde;0,683517439;1
açılır;-0,20833;-1
açılış;0,071578712;1
açılış gecesi;0,161517439;1
açılma;0,110904448;1
açılmak;0,079629576;1
açılmamış;-0,248124467;-1
açılmış;-0,155444868;-1
açım;-0,002461041;-1
açımla;-0,24058;-1
açımlama;0,080873017;1
açımlamak;0,154526022;1
açın;-0,07609;-1
açınım;0,391194107;1
açınma;0,076810578;1
açınmak;0,051950722;1
açıölçer;0,629737439;1
açısal;0,161517439;1
açısal hız;0,286517439;1
açısal olmak;0,411517439;1
açısal şekil;0,286517439;1
açış;0,083032444;1
açkı;-0,102522517;-1
açkıcı;-0,24419;-1
açkılı;0,284589267;1
açkısızdır;-0,5;-1
açlık;-0,02262984;-1
açlık bastırmak;-0,040465399;-1
açlık çekmek;-0,040465399;-1
açlık duymak;-0,040465399;-1
açlıktan;-0,28285;-1
açma;-0,076062723;-1
açmak;0,060732301;1
açmaz;-0,149976826;-1
açmazlık;-0,054715906;-1
ad;0,068372228;1
ad çekme;0,114537439;1
ad etiketi;0,161517439;1
ad koyma;-0,2945;-1
ad koymak;-0,2945;-1
ada;-0,116903887;-1
ada çayı;0,170357439;1
ada dağıtıcı;0,161517439;1
adabı muaşeret;-0,42932864;-1
adabımuaşeret;-0,020330425;-1
adaciyo;-0,02083;-1
adaçayı;0,170357439;1
adak;0,149995535;1
adaklı;0,084207439;1
adaktil;-0,125;-1
adaktili;-0,5;-1
adalan;0,232369436;1
adalarda;-0,25;-1
adaldı;0,232092524;1
adale;-0,3230066;-1
adaleli;0,387416636;1
adalet;0,172454336;1
adalet sarayı;-0,58918;-1
adalet yapmak;0,161517439;1
adaletli;0,198981161;1
adaletsiz;-0,240971817;-1
adaletsizce;0,286517439;1
adaletsizlik;-0,070095558;-1
adalır;0,225013952;1
adali;0,354477439;1
adalî;0,284771606;1
adalmış;0,232092524;1
adam;0,136030102;1
adam cuma;0,411517439;1
adam düşmek;0,411517439;1
adam eti yemek;-0,20442685;-1
adam etmek;0,081967439;1
adam içine çıkamamak;0,04806775;1
adam işçisi;-0,125;-1
adam kayırma;0,411517439;1
adam öldürme;-0,13314756;-1
adamak;0,111182995;1
adamakılı;0,083126137;1
adamakıllı;0,203615195;1
adamca;0,322201072;1
adamcağız;-0,125;-1
adamcasına;0,323448686;1
adamcık;-0,125;-1
adamcıl;0,106749382;1
adamet;0,08987174;1
adamı;-0,199862012;-1
adamlı;-0,75;-1
adamlık;-0,119893177;-1
adamsendeci;-0,063671973;-1
adamsendecilik;-0,256705617;-1
adamsız;-0,174814259;-1
adanır;0,225013952;1
adanmış;0,084207439;1
adap;0,160862177;1
adaptasyon;0,283374902;1
adapte;0,165485227;1
adapte etmek;0,219379449;1
adaptif;0,286517439;1
adaptör;0,141817439;1
adar shenita;0,286517439;1
adaş;0,411517439;1
adavet;0,048119998;1
aday;0,211910939;1
adaylı;-0,625;-1
adçekimi;0,114537439;1
addet;-0,04334;-1
adeden;0,050408566;1
adedi;0,17806613;1
adedî;0,143269252;1
adele;-0,0777793;-1
adem;-0,010176828;-1
âdem;-0,076582553;-1
adem baba;-0,261293359;-1
adem baba gibi;-0,096900517;-1
âdem evlâdı;0,436277439;1
adem-i nef'i;-0,061912138;-1
adem-i riâyet;-0,25;-1
ademi tediye;0,078187439;1
ademimerkeziyet;-0,31033;-1
âdemiyet;-0,137507107;-1
ademoğlu;0,151939913;1
âdemoğlu;0,436277439;1
âdemoğulları;0,436277439;1
aden;0,173815994;1
adenilasit asit;0,161517439;1
adenokarsinom;-0,125;-1
adenomiyosarkom;-0,125;-1
adenomyozis;-0,25;-1
adenopati;0,161517439;1
adeptness;0,536517439;1
adermin;0,161517439;1
adese;-0,406127291;-1
adet;-0,071750984;-1
âdet;0,115613223;1
adet ara;0,161517439;1
adet yokluğu;-0,625;-1
adeta;-0,035491937;-1
âdeta;-0,020822368;-1
adetçe;0,057447518;1
âdetlere uygun;0,744847439;1
adı;0,082182234;1
adı belirsiz;-0,564952698;-1
adı geçen;-0,229711734;-1
adıktı;0,225013952;1
adıl;0,050095138;1
adım;-0,039315236;-1
adım adım;-0,067206158;-1
adım başı;0,091319752;1
adımını geri almak;-0,182875128;-1
adımla;0,099337439;1
adın;0,225013952;1
adına;-0,10417;-1
adına sadece;-0,25;-1
adından;-0,068280982;-1
adını;-0,689451933;-1
adını anma;0,303447439;1
adıvar;0,225013952;1
adi;-0,292397898;-1
adî;0,263644679;1
âdi;-0,147613193;-1
adibatik;-0,375;-1
adice;0,411517439;1
adil;0,212887701;1
adil bir şans;-0,125;-1
adil duruşma;-0,625;-1
adil fikirlilik;0,161517439;1
adil hava;0,661517439;1
adil kopya;-0,125;-1
adil olma;0,286517439;1
adilane;0,286517439;1
adileşmek;-0,097847123;-1
adileştirme;-0,08333;-1
adilik;-0,100565377;-1
adîlik;0,043661737;1
adinamik;-0,58333;-1
adipik asit;-0,125;-1
adiyen;-0,053893738;-1
adjuvan;-0,20455;-1
adlan;-0,13778;-1
adlandırma;0,373289401;1
adlar kümesi;0,161517439;1
adlı;0,224854814;1
adli;-0,25;-1
adliye;-0,58918;-1
adrenalin;0,161517439;1
adrenaline;0,161517439;1
adrenerjik;0,286517439;1
adrenerjik ilaç;0,286517439;1
adres;-0,019777552;-1
adresle;-0,01347;-1
adresli;0,661517439;1
adressiz;-0,125;-1
adsız;-0,62326042;-1
adsorbat;0,349017439;1
adventif;-0,4375;-1
advisement;0,536517439;1
adyabatik;-0,625;-1
ae housman;0,161517439;1
aegis;-0,25;-1
aegyptopithecus;0,161517439;1
aengus;0,411517439;1
aerobik;0,182347439;1
aerodinamik;0,119847439;1
af;0,130305977;1
afacan;-0,285204654;-1
afacan çocuk;0,078187439;1
afacanlık;0,286517439;1
afak;-0,4375;-1
afaki;-0,244430279;-1
âfaki;-0,148905729;-1
afakilik;0,286517439;1
afakîlik;0,286517439;1
afalla;0,297727439;1
afallama;0,161517439;1
afallamış;0,114068858;1
afaroz;-0,04167;-1
afat;0,377837439;1
afazi;-0,375;-1
afazik;-0,625;-1
aferin;-0,091469515;-1
aferin demek;0,104031725;1
afet;-0,008795564;-1
afet gibi;0,227992571;1
afeti can;0,231125554;1
afetler;0,377837439;1
afetzede;0,408857439;1
affeden;0,142997439;1
affeder;0,661517439;1
affederek;0,286517439;1
affedersin;-0,70201;-1
affedersiniz;-0,454038743;-1
affedici;0,203187439;1
affedilebilir;0,494847439;1
affedilmeyen;-0,625;-1
affedilmez;-0,3026545;-1
affet;0,203187439;1
affetme;0,124953462;1
affetmek;-0,006522973;-1
affetmemek;-0,20833;-1
affetmemezlik;0,148517439;1
affetmez;-0,75;-1
affeyle;0,712297439;1
affol;0,412957439;1
affola;-0,17182;-1
afgan;0,536517439;1
afganlı;0,536517439;1
afi;0,093711818;1
afif;0,134352922;1
afife;0,821717439;1
âfil;-0,375;-1
afili;0,238065411;1
afilli;0,536517439;1
afinite;-0,03489;-1
afis;0,061287439;1
afiş;-0,030825757;-1
afiş tahtası;0,786517439;1
afişe;-0,077751432;-1
afiyet;0,224987221;1
afiyetle;0,161517439;1
afkurma;-0,10641;-1
aforizma;0,384039633;1
aforoz;-0,04167;-1
aforoz etmek;-0,15625;-1
aforozlu;0,101497683;1
afra;0,104117439;1
afra tafra;0,071692407;1
african monitör;-0,25;-1
african timsah;-0,125;-1
afrika menekşesi;0,071642275;1
afrika'da;0,143957439;1
afro peruk;-0,25;-1
afrodizyak;0,536517439;1
afsun;-0,019775043;-1
afsuncu;0,119847439;1
afsunlamak;0,277478601;1
afsunlu;-0,09681082;-1
aft;0,155331789;1
afur tafur;0,077363052;1
afur tufur;0,286517439;1
afurtafur;0,088774278;1
afyon;-0,135001917;-1
agah;0,090615159;1
agâh;0,295809503;1
agamogenetik;-0,625;-1
aganigi;-0,25;-1
agatha christie;0,161517439;1
agav;-0,04167;-1
agave şarkı;-0,125;-1
agel;-0,00064;-1
agenezisi;-0,125;-1
ageneziydi;-0,125;-1
aglaia;0,161517439;1
aglomera;0,286517439;1
aglomeratif;0,286517439;1
aglomere;0,286517439;1
agnaıl;-0,25;-1
agnatha;-0,25;-1
agnosi;-0,25;-1
agnostik;0,202604716;1
agnozi;-0,25;-1
agonadal;-0,125;-1
agonal;-0,25;-1
agonistik;-0,06818;-1
agora;0,205157439;1
agorafobik;-0,75;-1
agraf;-0,023204391;-1
agrafi;-0,08333;-1
agrandisör;-0,031366983;-1
agranülositik;-0,25;-1
agranülositoz;-0,5;-1
agranüloz;-0,5;-1
agrapha;-0,5;-1
agrega;-0,02273;-1
agresif;-0,01490139;-1
agresif olmayan;-0,625;-1
agu;0,355007439;1
agu bebek;-0,113690369;-1
agucuk;-0,104803216;-1
agucuk yavru;-0,104803216;-1
agun;-0,1553;-1
aguş;0,33460158;1
ağ;-0,000799682;-1
ağ geçidi ilaç;-0,625;-1
ağ gibi;0,161517439;1
ağ ipliği;-0,020150718;-1
ağ tabaka;0,080897439;1
ağ tasarımcısı;0,163197439;1
ağa;-0,005392213;-1
ağa benzer;0,161517439;1
ağababa;-0,030223627;-1
ağabey;-0,221334662;-1
ağaç;-0,05102;-1
ağaç balı;0,161517439;1
ağaç cerrah;-0,25;-1
ağaç cerrahi;-0,375;-1
ağaç cilası;0,40821092;1
ağaç çileği;-0,02273;-1
ağaç kavunu;-0,061432268;-1
ağaç kırığı;-0,375;-1
ağaç küpesi;-0,125;-1
ağaç olmak;-0,026965257;-1
ağaç parkı;0,077677439;1
ağaç sakızı;0,209057439;1
ağaçbaskı;0,410347439;1
ağaççık;-0,271657551;-1
ağaçkakan;-0,125;-1
ağaçla;-0,14898;-1
ağaçlık;-0,125571522;-1
ağaçlılık;0,244847439;1
ağaçsız;-0,25;-1
ağaçtan;-0,041622;-1
ağaçtan eşya yapan;0,10339245;1
ağalanmak;0,071175351;1
ağalık;0,073964327;1
ağan;-0,189677703;-1
ağanın eli tutulmaz;-0,3125;-1
ağanlar;-0,137796725;-1
ağar;0,055607439;1
ağarık;0,168467439;1
ağarmak;0,127419873;1
ağarmış;0,286517439;1
ağartı;0,715441939;1
ağartılmamış;-0,75;-1
ağartılmış;-0,33333;-1
ağartmak;0,136208695;1
ağcı;0,253107439;1
ağda;0,096057439;1
ağdalı;-0,083205479;-1
ağdalık;0,059247439;1
ağdır;0,220947439;1
ağı;-0,289179378;-1
ağı ağacı;0,342401973;1
ağı çiçeği;0,342401973;1
ağı otu;0,072429893;1
ağıcı;0,253107439;1
ağıl;-0,054894004;-1
ağıla;-0,66706;-1
ağılanma;-0,02273;-1
ağılanmak;0,04614023;1
ağılgat;0,054972448;1
ağılı uçun;-0,125;-1
ağım;0,297870211;1
ağın;0,052247439;1
ağır;-0,057014531;-1
ağır ağır;0,146103711;1
ağır akan su;-0,25;-1
ağır ayak;-0,055515502;-1
ağır ayaklı;-0,25;-1
ağır başlı;-0,05636613;-1
ağır canlı;-0,06117456;-1
ağır çakı gibi;0,161517439;1
ağır çalışmak;0,286517439;1
ağır düşme sesi;0,119847439;1
ağır elli;-0,5;-1
ağır ihmal;-0,75;-1
ağır kaldırma;-0,5;-1
ağır kanlı;-0,074604923;-1
ağır siklet;-0,03;-1
ağır silahlı;0,161517439;1
ağır yüklü;-0,08333;-1
ağırbaşlı;0,176736104;1
ağırbaşlı davranmak;-0,112012563;-1
ağırbaşlı kimse;0,161517439;1
ağırbaşlılık;0,073701684;1
ağırbaşlılıkla;0,286517439;1
ağırbışlı;0,180796843;1
ağırca;0,103085325;1
ağırcanlı;0,069565121;1
ağırdan;-0,32087;-1
ağırdan ağıra;0,107361808;1
ağırkanlı;0,216209438;1
ağırla;0,065137439;1
ağırladı;-0,125;-1
ağırlama;0,199675493;1
ağırlamak;-0,058012039;-1
ağırlaşmak;-0,301463436;-1
ağırlaşmış;0,054739261;1
ağırlaştıran;-0,250128746;-1
ağırlaştırıcı;-0,252534334;-1
ağırlaştırılmış;-0,25;-1
ağırlaştırmak;-0,16667;-1
ağırlayan;0,134557439;1
ağırlığı atmak;-0,375;-1
ağırlığını taşımak;-0,281564462;-1
ağırlık;-0,144600192;-1
ağırlık yitimi;-0,015;-1
ağırlıklı;0,119847439;1
ağırsa;0,282897439;1
ağış;0,066502711;1
ağıt;-0,282703111;-1
ağıt yakmak;-0,25;-1
ağız;-0,059716073;-1
ağız atlası;0,411517439;1
ağız değiştirmek;-0,154440018;-1
ağız kalabalığı;0,161517439;1
ağız kalabalıklığı;-0,092978395;-1
ağız kavgası;-0,094925115;-1
ağız kuruluğu;-0,25;-1
ağız sulandıran;0,411517439;1
ağız tadı ile;-0,148840871;-1
ağız tadıyla;-0,026874197;-1
ağız yangısı;-0,375;-1
ağıza alınmaz;-0,375;-1
ağızcık;-0,013677751;-1
ağızcıl;0,054867439;1
ağızdan;-0,16433292;-1
ağızla;-0,27612;-1
ağızlaşma;-0,25;-1
ağızlaştırma;-0,25;-1
ağızlık;-0,069045179;-1
ağızsız;-0,144385654;-1
ağla;-0,1790075;-1
ağla çevrilmiş;-0,125;-1
ağlak;0,161517439;1
ağlama;-0,546337755;-1
ağlamak;-0,23704191;-1
ağlamaklı;-0,367628011;-1
ağlamaklı olmak;-0,101221881;-1
ağlanacak;-1;-1
ağlanacak halde;-0,875;-1
ağlanç;-1;-1
ağlanılası;-1;-1
ağlaşma;-0,262034104;-1
ağlaşmak;-0,136019339;-1
ağlatıcı;0,226607179;1
ağlatmak;-0,190414997;-1
ağlayan;-0,236484194;-1
ağlayan kimse;-0,16667;-1
ağlayıp;-0,625;-1
ağlı;-0,055568473;-1
ağlıyor;-0,375;-1
ağma;0,326737439;1
ağnsı;-0,625;-1
ağrak;-0,07875;-1
ağrı;-0,250471891;-1
ağrı dağı;0,411517439;1
ağrı eşiği;-0,5;-1
ağrı hap;-0,375;-1
ağrı hissi;-0,75;-1
ağrı kesici;-0,178321819;-1
ağrı kesimi;-0,75;-1
ağrı olmaksızın;-0,41667;-1
ağrı ünitesi;-0,25;-1
ağrıdan korkma;-0,625;-1
ağrık;-0,300076414;-1
ağrıkesen;-0,125070783;-1
ağrıkesici;-0,125070783;-1
ağrıklı;0,042929499;1
ağrıları olmak;-0,125;-1
ağrılı;0,151662088;1
ağrıma;-0,172979032;-1
ağrımak;-0,190187259;-1
ağrısız;-0,41667;-1
ağrıtmak;-0,200642382;-1
ağrıyan;-0,5;-1
ağsı;0,161517439;1
ağu;-0,030094997;-1
ağustos;-0,01293;-1
ağustos gülü;-0,07619;-1
ağzı açık;0,208964939;1
ağzı açık aşk;0,536517439;1
ağzı aşağı;-0,880531509;-1
ağzı gevşek;0,146062281;1
ağzı kalabalık;0,150336373;1
ağzı kapalı;0,161517439;1
ağzı kara;0,146062281;1
ağzı pek;0,150267042;1
ağzı sıkı;0,136995005;1
ağzı sıkılık;-0,010179692;-1
ağzı süt kokan;-0,055584292;-1
ağzı süt kokuyor;0,110709816;1
ağzın;0,203527439;1
ağzına geleni söylemek;-0,161082008;-1
ağzında bakla ıslanmaz;0,155889822;1
ağzında köpük;-0,375;-1
ağzından;-0,10417;-1
ağzını bozmak;-0,04167;-1
ah;-0,06012709;-1
ah etmek;-0,120838207;-1
aha;0,041409939;1
ahacık;-0,04068375;-1
ahali;-0,057888507;-1
ahan;0,040734439;1
ahbap;0,091197259;1
ahbaplık;0,166352472;1
ahbaplıkla;0,459170861;1
ahçı;0,177736699;1
ahçıbaşı;0,051264826;1
